iter	Passed	Remaining
0	4	1395
1	9	1415
2	14	1442
3	19	1409
4	23	1391
5	28	1395
6	32	1372
7	37	1372
8	42	1358
9	47	1386
10	51	1365
11	56	1352
12	61	1364
13	76	1553
14	84	1613
15	89	1588
16	94	1567
17	98	1549
18	103	1528
19	107	1506
20	113	1507
21	118	1499
22	123	1488
23	128	1478
24	132	1460
25	137	1451
26	142	1444
27	147	1434
28	153	1435
29	157	1420
30	162	1410
31	166	1396
32	170	1382
33	175	1375
34	181	1373
35	186	1365
36	191	1359
37	197	1363
38	203	1359
39	209	1363
40	214	1358
41	219	1349
42	224	1340
43	230	1343
44	235	1332
45	239	1323
46	245	1323
47	250	1316
48	255	1310
49	262	1311
50	266	1301
51	271	1292
52	275	1284
53	280	1275
54	284	1268
55	288	1258
56	294	1255
57	298	1247
58	303	1241
59	308	1234
60	313	1227
61	318	1223
62	323	1218
63	328	1210
64	332	1202
65	337	1195
66	342	1191
67	347	1186
68	352	1181
69	358	1176
70	364	1175
71	370	1172
72	375	1166
73	379	1160
74	384	1152
75	389	1146
76	393	1139
77	398	1133
78	402	1126
79	407	1120
80	411	1113
81	416	1106
82	420	1100
83	425	1095
84	431	1090
85	435	1083
86	440	1077
87	444	1070
88	448	1064
89	454	1060
90	459	1054
91	463	1048
92	468	1043
93	473	1036
94	477	1030
95	482	1025
96	487	1020
97	492	1014
98	496	1009
99	502	1004
100	506	997
101	511	992
102	516	987
103	521	983
104	526	976
105	530	970
106	534	964
107	539	958
108	543	951
109	547	946
110	552	940
111	556	934
112	560	927
113	564	921
114	569	916
115	574	910
116	578	904
117	583	900
118	587	894
119	592	888
120	597	884
121	606	884
122	611	880
123	617	876
124	623	872
125	630	870
126	637	867
127	641	862
128	646	857
129	651	851
130	656	847
131	661	841
132	666	837
133	671	832
134	676	827
135	682	823
136	687	817
137	691	811
138	696	806
139	701	801
